company,vehicle_type,factor_circumvented,factor_name,geography_factor,geography_type,geography_factor_id,latitude,longitude,county_fips,tract_fips,block_group_fips,zip,place_name_fips,rate_bi,rate_pd,rate_mlpd,rate_ppi,rate_pip_med,rate_pip_wl,rate_comp,rate_coll,rate_cr,rate_um_uim,generic_location_based_premium,location_effect
Auto Club,Auto,zip,Base Rate,census_tract,census_tract,26001000100,,,,26001000100,,,,359.27734399999997,13.621184,34.241984,69.113952,3519.56294,142.43904799999999,242.353224,985.649836,46.9776,63.36923,5477.0,0.74
Auto Club,Auto,zip,Base Rate,census_tract,census_tract,26001970100,,,,26001970100,,,,359.52823600000005,13.630696000000002,34.265896000000005,69.113952,3526.1160440000003,142.54590399999998,242.353224,985.446693,46.9776,63.36923,5483.0,0.74
Auto Club,Auto,zip,Base Rate,census_tract,census_tract,26001970400,,,,26001970400,,,,359.52823600000005,13.630696000000002,34.265896000000005,69.113952,3526.1160440000003,142.54590399999998,242.353224,985.446693,46.9776,63.36923,5483.0,0.74
Auto Club,Auto,zip,Base Rate,census_tract,census_tract,26001970500,,,,26001970500,,,,363.41706200000004,13.778132000000001,34.636532,69.757728,3546.321448,144.709738,242.93959200000003,1002.1044190000001,47.917152,64.001706,5530.0,0.74
Auto Club,Auto,zip,Base Rate,census_tract,census_tract,26001970600,,,,26001970600,,,,359.52823600000005,13.630696000000002,34.265896000000005,69.113952,3526.1160440000003,142.54590399999998,242.353224,985.446693,46.9776,63.36923,5483.0,0.74
Auto Club,Auto,zip,Base Rate,census_tract,census_tract,26003000100,,,,26003000100,,,,385.621004,14.619944,36.752744,77.758944,3201.1913040000004,149.304546,279.221112,1162.790532,52.84980000000001,71.29950600000001,5431.0,0.73
Auto Club,Auto,zip,Base Rate,census_tract,census_tract,26003000200,,,,26003000200,,,,378.721474,14.358364,36.095164000000004,76.034544,3130.199344,145.99201,273.0276,1127.240507,51.675360000000005,69.71831600000002,5303.0,0.71
Auto Club,Auto,zip,Base Rate,census_tract,census_tract,26003000300,,,,26003000300,,,,385.621004,14.619944,36.752744,77.758944,3201.1913040000004,149.304546,279.221112,1162.790532,52.84980000000001,71.29950600000001,5431.0,0.73
Auto Club,Auto,zip,Base Rate,census_tract,census_tract,26005030200,,,,26005030200,,,,434.231329,16.462894000000002,41.385694,76.50587999999999,3679.567896,176.339114,235.97647200000003,1258.6740280000001,55.453142,73.403705,6048.0,0.81
Auto Club,Auto,zip,Base Rate,census_tract,census_tract,26005030300,,,,26005030300,,,,439.24916900000005,16.653134,41.863934,79.690272,3707.4185879999995,175.884976,237.22250400000001,1376.7001109999999,58.839444,74.911917,6208.0,0.84
Auto Club,Auto,zip,Base Rate,census_tract,census_tract,26005030401,,,,26005030401,,,,433.41593,16.43198,41.30798,77.011704,3659.9085840000002,176.01854600000001,235.28016000000002,1267.002891,56.118658,73.70778,6036.0,0.81
Auto Club,Auto,zip,Base Rate,census_tract,census_tract,26005030402,,,,26005030402,,,,431.84785500000004,16.37253,41.15853,76.29895199999999,3676.291344,175.51098,235.57334400000002,1257.658313,55.159532,73.196934,6039.0,0.81
