GRID ID,BI_FCTR,COLL_FCTR,COMP_FCTR,LTDPD_FCTR,PD_FCTR,PIP_FCTR,PPI_FCTR
0416908441,0.717,0.808,1.795,0.664,0.802,0.711,0.802
0416908442,0.717,0.808,1.768,0.664,0.802,0.711,0.802
0416908443,0.717,0.808,1.777,0.664,0.802,0.696,0.802
0416908444,0.717,0.808,1.75,0.664,0.802,0.711,0.802
0416908445,0.717,0.808,1.75,0.664,0.802,0.711,0.802
0416908446,0.717,0.792,1.768,0.664,0.802,0.711,0.802
0416908447,0.717,0.799,1.795,0.664,0.802,0.711,0.802
0416908448,0.717,0.799,1.768,0.664,0.802,0.711,0.802
0416908449,0.717,0.799,1.768,0.664,0.802,0.711,0.802
0416908450,0.717,0.792,1.768,0.664,0.802,0.711,0.802
0416908451,0.717,0.792,1.795,0.664,0.802,0.711,0.802
0416908452,0.717,0.799,1.795,0.664,0.802,0.711,0.802
0416908453,0.717,0.799,1.802,0.664,0.802,0.711,0.802
0416908454,0.739,0.792,1.802,0.657,0.802,0.711,0.802
0416908455,0.717,0.792,1.802,0.657,0.802,0.711,0.802
0416908456,0.717,0.792,1.802,0.657,0.802,0.711,0.802
0416908457,0.717,0.792,1.82,0.657,0.802,0.711,0.802
0416908458,0.717,0.792,1.847,0.657,0.802,0.711,0.802
0416908459,0.717,0.792,1.847,0.657,0.802,0.711,0.802
0416908460,0.717,0.792,1.847,0.657,0.802,0.711,0.802
0416908461,0.717,0.792,1.847,0.657,0.802,0.711,0.802
0416908462,0.717,0.792,1.847,0.657,0.802,0.711,0.802
0416908463,0.717,0.768,1.847,0.651,0.802,0.711,0.802
0416908464,0.733,0.806,2.052,0.689,0.821,0.727,0.821
0416908465,0.733,0.806,2.039,0.682,0.821,0.727,0.821
0416908466,0.764,0.806,1.998,0.682,0.83,0.735,0.83
0416908467,0.756,0.806,2.038,0.674,0.821,0.727,0.821
0416908468,0.764,0.822,2.005,0.674,0.83,0.735,0.83
0416908469,0.764,0.822,1.967,0.674,0.83,0.735,0.83
0416908470,0.764,0.822,1.933,0.674,0.83,0.735,0.83
0416908471,0.764,0.814,1.933,0.674,0.83,0.735,0.83
0416908472,0.764,0.791,1.933,0.647,0.83,0.735,0.83
0416908473,0.763,0.797,1.916,0.647,0.854,0.741,0.854
0416908474,0.787,0.797,1.861,0.64,0.854,0.741,0.854
0416908475,0.787,0.797,1.917,0.647,0.854,0.741,0.854
0416908476,0.763,0.789,1.917,0.64,0.854,0.741,0.854
0416908477,0.787,0.789,1.917,0.64,0.854,0.741,0.854
0416908478,0.802,0.789,1.917,0.634,0.87,0.755,0.87
0416908479,0.81,0.782,1.935,0.628,0.879,0.762,0.879
0416908480,0.81,0.765,1.901,0.628,0.879,0.779,0.879
0416908481,0.763,0.723,1.903,0.618,0.828,0.734,0.828
0417008405,0.74,0.8,1.165,0.788,0.846,0.733,0.846
0417008406,0.74,0.825,1.165,0.788,0.846,0.733,0.846
0417008407,0.74,0.825,1.165,0.788,0.846,0.733,0.846
0417008408,0.74,0.841,1.13,0.788,0.846,0.733,0.846
0417008409,0.74,0.825,1.13,0.788,0.846,0.733,0.846
0417008410,0.74,0.825,1.13,0.788,0.846,0.733,0.846
0417008411,0.74,0.841,1.148,0.796,0.846,0.733,0.846
0417008412,0.74,0.832,1.148,0.796,0.846,0.733,0.846
0417008413,0.74,0.832,1.148,0.788,0.846,0.733,0.846
0417008414,0.748,0.841,1.148,0.788,0.854,0.741,0.854
0417008415,0.748,0.841,1.148,0.788,0.854,0.741,0.854
0417008416,0.748,0.841,1.148,0.788,0.854,0.741,0.854
0417008417,0.748,0.841,1.148,0.796,0.854,0.741,0.854
0417008418,0.748,0.841,1.148,0.788,0.854,0.741,0.854
0417008419,0.748,0.841,1.148,0.788,0.854,0.741,0.854
0417008420,0.763,0.841,1.148,0.788,0.854,0.741,0.854
0417008421,0.733,0.783,1.252,0.739,0.838,0.727,0.838
0417008422,0.749,0.783,1.278,0.739,0.838,0.727,0.838
0417008423,0.741,0.791,1.291,0.739,0.83,0.719,0.83
0417008424,0.732,0.807,1.304,0.739,0.82,0.726,0.82
0417008425,0.732,0.807,1.304,0.732,0.82,0.726,0.82
0417008426,0.732,0.816,1.33,0.739,0.82,0.726,0.82
0417008427,0.732,0.816,1.344,0.732,0.82,0.726,0.82
0417008428,0.732,0.824,1.344,0.732,0.82,0.726,0.82
0417008429,0.74,0.824,1.398,0.732,0.828,0.734,0.828
0417008430,0.74,0.824,1.505,0.725,0.828,0.734,0.828
0417008431,0.74,0.824,1.496,0.725,0.828,0.734,0.828
0417008432,0.74,0.824,1.528,0.725,0.828,0.719,0.828
0417008433,0.732,0.824,1.57,0.732,0.82,0.726,0.82
0417008434,0.732,0.824,1.656,0.725,0.82,0.726,0.82
0417008435,0.717,0.848,1.772,0.725,0.802,0.711,0.802
0417008436,0.733,0.84,1.814,0.725,0.821,0.727,0.821
0417008437,0.717,0.84,1.872,0.717,0.802,0.711,0.802
0417008438,0.733,0.831,1.923,0.725,0.821,0.712,0.821
0417008439,0.717,0.831,1.97,0.725,0.802,0.711,0.802
0417008440,0.733,0.831,1.951,0.725,0.821,0.712,0.821
0417008441,0.733,0.84,1.97,0.725,0.821,0.727,0.821
0417008442,0.718,0.84,1.97,0.725,0.803,0.712,0.803
0417008443,0.718,0.84,2.02,0.725,0.803,0.712,0.803
0417008444,0.718,0.865,2.01,0.725,0.803,0.712,0.803
0417008445,0.718,0.849,2.006,0.725,0.803,0.712,0.803
0417008446,0.703,0.84,2.006,0.718,0.787,0.698,0.787
0417008447,0.703,0.865,2.036,0.718,0.787,0.698,0.787
0417008448,0.717,0.848,2.036,0.718,0.802,0.711,0.802
0417008449,0.709,0.848,1.996,0.718,0.793,0.703,0.793
0417008450,0.709,0.814,1.95,0.718,0.793,0.703,0.793
0417008451,0.703,0.856,1.95,0.718,0.787,0.698,0.787
0417008452,0.718,0.856,2.039,0.718,0.803,0.697,0.803
0417008453,0.718,0.848,2.0,0.718,0.803,0.712,0.803
0417008454,0.733,0.848,2.077,0.702,0.821,0.712,0.821
0417008455,0.717,0.839,2.06,0.702,0.802,0.711,0.802
0417008456,0.718,0.866,2.069,0.71,0.803,0.712,0.803
0417008457,0.725,0.856,2.069,0.702,0.811,0.719,0.811
0417008458,0.733,0.856,2.06,0.689,0.821,0.727,0.821
0417008459,0.733,0.848,2.06,0.689,0.821,0.727,0.821
0417008460,0.733,0.848,2.088,0.689,0.821,0.727,0.821
0417008461,0.733,0.848,2.088,0.689,0.821,0.727,0.821
0417008462,0.733,0.822,2.052,0.689,0.821,0.712,0.821
0417008463,0.733,0.822,2.088,0.689,0.821,0.712,0.821
0417008464,0.733,0.814,2.088,0.689,0.821,0.727,0.821
0417008465,0.756,0.831,2.092,0.681,0.821,0.727,0.821
0417008466,0.756,0.839,1.998,0.674,0.821,0.727,0.821
0417008467,0.756,0.831,1.998,0.674,0.821,0.727,0.821
0417008468,0.756,0.814,2.038,0.674,0.821,0.727,0.821
0417008469,0.756,0.814,1.998,0.674,0.821,0.727,0.821
0417008470,0.756,0.814,1.967,0.674,0.821,0.727,0.821
0417008471,0.756,0.806,1.929,0.674,0.821,0.727,0.821
0417008472,0.756,0.814,1.933,0.667,0.846,0.733,0.846
0417008473,0.763,0.823,1.916,0.667,0.854,0.741,0.854
0417008474,0.764,0.79,1.897,0.64,0.83,0.735,0.83
0417008475,0.764,0.797,1.897,0.634,0.83,0.735,0.83
0417008476,0.81,0.79,1.897,0.64,0.879,0.762,0.879
0417008477,0.802,0.789,1.935,0.64,0.87,0.755,0.87
0417008478,0.81,0.773,1.917,0.647,0.879,0.762,0.879
0417008479,0.81,0.773,1.917,0.628,0.879,0.779,0.879
0417008480,0.81,0.789,1.917,0.628,0.879,0.779,0.879
0417008481,0.763,0.746,1.903,0.618,0.828,0.734,0.828
0417108370,1.337,0.888,0.669,0.729,1.495,1.296,1.495
0417108371,1.337,0.888,0.669,0.722,1.495,1.296,1.495
0417108372,1.337,0.852,0.669,0.722,1.495,1.296,1.495
0417108373,1.337,0.86,0.669,0.722,1.495,1.296,1.495
0417108374,1.337,0.879,0.669,0.722,1.495,1.296,1.495
0417108375,1.337,0.86,0.669,0.722,1.495,1.296,1.495
0417108376,1.058,0.855,0.909,0.755,1.183,1.027,1.183
0417108377,0.779,0.85,1.148,0.788,0.871,0.756,0.871
0417108378,0.779,0.841,1.148,0.788,0.871,0.756,0.871
0417108379,0.763,0.841,1.148,0.788,0.854,0.741,0.854
0417108380,0.779,0.841,1.148,0.788,0.871,0.756,0.871
0417108381,0.779,0.85,1.148,0.788,0.871,0.756,0.871
0417108382,0.779,0.868,1.148,0.788,0.871,0.756,0.871
0417108383,0.763,0.85,1.119,0.788,0.854,0.741,0.854
0417108384,0.779,0.85,1.119,0.788,0.871,0.756,0.871
0417108385,0.763,0.85,1.108,0.788,0.854,0.741,0.854
0417108386,0.756,0.85,1.096,0.788,0.846,0.733,0.846
0417108387,0.971,0.815,1.072,0.777,1.086,0.942,1.086
0417108388,0.972,0.822,1.016,0.769,1.087,0.943,1.087
0417108389,0.959,0.857,0.995,0.769,1.096,0.95,1.096
0417108390,0.971,0.798,0.984,0.769,1.109,0.962,1.109
0417108391,0.951,0.798,0.975,0.777,1.086,0.942,1.086
0417108392,0.951,0.767,0.964,0.769,1.086,0.942,1.086
0417108393,0.943,0.774,0.964,0.769,1.078,0.934,1.078
0417108394,0.935,0.751,0.964,0.769,1.068,0.926,1.068
0417108395,0.907,0.751,0.952,0.769,1.036,0.899,1.036
0417108396,0.907,0.767,0.962,0.769,1.036,0.899,1.036
0417108397,0.89,0.752,0.973,0.777,1.017,0.882,1.017
0417108398,0.881,0.736,0.973,0.777,1.006,0.873,1.006
0417108399,0.881,0.76,0.973,0.777,1.006,0.873,1.006
0417108400,0.875,0.729,0.983,0.777,1.0,0.867,1.0
0417108401,0.875,0.729,1.014,0.785,1.0,0.867,1.0
0417108402,0.849,0.722,1.023,0.785,0.971,0.841,0.971
0417108403,0.849,0.722,1.044,0.785,0.971,0.841,0.971
0417108404,0.842,0.722,1.044,0.785,0.961,0.834,0.961
0417108405,0.842,0.722,1.024,0.785,0.961,0.834,0.961
0417108406,0.817,0.707,1.054,0.785,0.933,0.81,0.933
0417108407,0.817,0.729,1.054,0.785,0.933,0.81,0.933
0417108408,0.808,0.729,1.046,0.785,0.924,0.801,0.924
0417108409,0.808,0.744,1.046,0.785,0.924,0.801,0.924
0417108410,0.808,0.736,1.1,0.785,0.924,0.801,0.924
0417108411,0.8,0.775,1.102,0.762,0.914,0.793,0.914
0417108412,0.794,0.783,1.142,0.762,0.908,0.787,0.908
0417108413,0.794,0.761,1.142,0.762,0.908,0.787,0.908
0417108414,0.787,0.76,1.179,0.762,0.899,0.78,0.899
0417108415,0.787,0.767,1.191,0.754,0.899,0.78,0.899
0417108416,0.779,0.767,1.191,0.746,0.89,0.772,0.89
0417108417,0.779,0.783,1.228,0.746,0.89,0.772,0.89
0417108418,0.779,0.783,1.228,0.746,0.89,0.772,0.89
0417108419,0.761,0.807,1.241,0.746,0.869,0.754,0.869
0417108420,0.777,0.815,1.241,0.739,0.869,0.754,0.869
0417108421,0.777,0.791,1.252,0.739,0.869,0.754,0.869
0417108422,0.769,0.783,1.265,0.739,0.861,0.746,0.861
0417108423,0.769,0.783,1.278,0.739,0.861,0.746,0.861
0417108424,0.761,0.807,1.304,0.732,0.852,0.739,0.852
0417108425,0.769,0.816,1.317,0.732,0.861,0.746,0.861
0417108426,0.761,0.816,1.33,0.732,0.852,0.755,0.852
0417108427,0.732,0.816,1.344,0.739,0.82,0.711,0.82
0417108428,0.74,0.816,1.356,0.732,0.828,0.734,0.828
0417108429,0.74,0.824,1.384,0.732,0.828,0.734,0.828
0417108430,0.753,0.824,1.439,0.725,0.842,0.746,0.842
0417108431,0.74,0.839,1.528,0.725,0.828,0.719,0.828
0417108432,0.76,0.831,1.542,0.725,0.851,0.754,0.851
0417108433,0.74,0.839,1.585,0.725,0.828,0.734,0.828
0417108434,0.732,0.831,1.681,0.725,0.82,0.726,0.82
0417108435,0.724,0.848,1.737,0.717,0.81,0.718,0.81
0417108436,0.739,0.84,1.834,0.725,0.827,0.733,0.827
0417108437,0.739,0.84,1.872,0.732,0.827,0.733,0.827
0417108438,0.733,0.831,1.917,0.717,0.821,0.727,0.821
0417108439,0.718,0.831,1.917,0.725,0.803,0.712,0.803
0417108440,0.718,0.831,1.97,0.725,0.803,0.712,0.803
0417108441,0.733,0.84,1.957,0.725,0.821,0.727,0.821
0417108442,0.718,0.84,1.99,0.725,0.803,0.712,0.803
0417108443,0.718,0.84,2.048,0.725,0.803,0.712,0.803
0417108444,0.718,0.839,2.079,0.725,0.803,0.712,0.803
0417108445,0.718,0.849,2.006,0.725,0.803,0.712,0.803
0417108446,0.718,0.874,1.97,0.718,0.803,0.712,0.803
0417108447,0.709,0.856,1.931,0.718,0.793,0.703,0.793
0417108448,0.709,0.848,1.95,0.71,0.793,0.703,0.793
0417108449,0.709,0.822,2.019,0.718,0.793,0.703,0.793
0417108450,0.709,0.831,2.037,0.718,0.793,0.703,0.793
0417108451,0.709,0.856,2.077,0.718,0.793,0.703,0.793
0417108452,0.717,0.856,2.0,0.71,0.802,0.711,0.802
0417108453,0.709,0.848,2.037,0.71,0.793,0.703,0.793
0417108454,0.717,0.848,2.039,0.702,0.802,0.711,0.802
0417108455,0.731,0.856,2.039,0.702,0.793,0.703,0.793
0417108456,0.747,0.866,2.069,0.702,0.811,0.719,0.811
0417108457,0.733,0.866,2.069,0.689,0.821,0.727,0.821
0417108458,0.725,0.856,2.069,0.689,0.811,0.719,0.811
0417108459,0.733,0.848,2.06,0.689,0.821,0.712,0.821
0417108460,0.725,0.839,2.021,0.689,0.811,0.719,0.811
0417108461,0.725,0.839,2.052,0.689,0.811,0.719,0.811
0417108462,0.733,0.856,2.088,0.689,0.821,0.712,0.821
0417108463,0.733,0.83,2.092,0.689,0.821,0.727,0.821
0417108464,0.725,0.814,2.052,0.674,0.811,0.704,0.811
0417108465,0.725,0.823,2.092,0.674,0.811,0.704,0.811
0417108466,0.725,0.831,2.038,0.681,0.811,0.704,0.811
0417108467,0.725,0.814,2.038,0.674,0.811,0.704,0.811
0417108468,0.725,0.831,1.962,0.674,0.811,0.704,0.811
0417108469,0.756,0.823,1.962,0.674,0.821,0.727,0.821
0417108470,0.756,0.823,1.929,0.674,0.821,0.712,0.821
0417108471,0.756,0.822,1.896,0.667,0.821,0.712,0.821
0417108472,0.756,0.797,1.878,0.674,0.821,0.712,0.821
0417108473,0.756,0.797,1.933,0.66,0.821,0.712,0.821
0417108474,0.756,0.797,1.933,0.66,0.821,0.712,0.821
0417108475,0.756,0.789,1.897,0.64,0.821,0.712,0.821
0417108476,0.764,0.782,1.897,0.647,0.83,0.735,0.83
0417108477,0.802,0.797,1.917,0.628,0.87,0.755,0.87
0417108478,0.802,0.79,1.917,0.628,0.87,0.755,0.87
0417108479,0.779,0.773,1.917,0.628,0.846,0.733,0.846
0417108480,0.802,0.774,1.917,0.628,0.87,0.755,0.87
0417108481,0.763,0.746,1.903,0.618,0.828,0.719,0.828
0417208345,1.229,0.925,0.652,0.759,1.375,1.192,1.375
0417208346,1.216,0.915,0.652,0.759,1.361,1.18,1.361
0417208347,1.216,0.915,0.652,0.759,1.361,1.18,1.361
0417208348,1.204,0.915,0.652,0.745,1.347,1.168,1.347
0417208349,1.192,0.953,0.652,0.745,1.333,1.157,1.333
0417208350,1.229,0.934,0.652,0.745,1.333,1.157,1.333
0417208351,1.192,0.934,0.652,0.745,1.333,1.157,1.333
0417208352,1.364,0.852,0.669,0.729,1.525,1.324,1.525
0417208353,1.505,0.872,0.646,0.714,1.685,1.461,1.685
0417208354,1.505,0.863,0.646,0.714,1.685,1.461,1.685
0417208355,1.522,0.846,0.646,0.721,1.703,1.477,1.703
0417208356,1.505,0.846,0.646,0.714,1.685,1.461,1.685
0417208357,1.505,0.863,0.652,0.714,1.685,1.461,1.685
0417208358,1.505,0.872,0.652,0.714,1.685,1.461,1.685
0417208359,1.522,0.863,0.652,0.714,1.703,1.477,1.703
0417208360,1.554,0.882,0.659,0.707,1.739,1.509,1.739
0417208361,1.537,0.814,0.652,0.707,1.72,1.492,1.72
0417208362,1.554,0.822,0.665,0.707,1.739,1.509,1.739
0417208363,1.493,0.829,0.665,0.707,1.67,1.448,1.67
0417208364,1.538,0.846,0.665,0.714,1.721,1.493,1.721
0417208365,1.554,0.846,0.665,0.714,1.739,1.509,1.739
0417208366,1.506,0.829,0.665,0.714,1.686,1.462,1.686
0417208367,1.506,0.79,0.671,0.707,1.686,1.462,1.686
0417208368,1.551,0.837,0.684,0.707,1.736,1.506,1.736
0417208369,1.551,0.846,0.684,0.707,1.736,1.506,1.736
0417208370,1.506,0.882,0.684,0.7,1.686,1.462,1.686
0417208371,1.536,0.864,0.69,0.714,1.719,1.491,1.719
0417208372,1.551,0.854,0.669,0.714,1.736,1.506,1.736
0417208373,1.551,0.863,0.69,0.706,1.736,1.506,1.736
0417208374,1.506,0.873,0.698,0.699,1.686,1.462,1.686
0417208375,1.506,0.845,0.698,0.706,1.686,1.462,1.686
0417208376,1.337,0.823,0.9,0.733,1.495,1.296,1.495
0417208377,1.06,0.857,1.291,0.777,1.186,1.028,1.186
0417208378,1.009,0.883,1.291,0.785,1.129,0.979,1.129
0417208379,1.009,0.84,1.265,0.785,1.129,0.979,1.129
0417208380,1.06,0.822,1.228,0.777,1.186,1.028,1.186
0417208381,1.038,0.857,1.216,0.777,1.161,1.007,1.161
0417208382,0.99,0.883,1.197,0.777,1.108,0.961,1.108
0417208383,0.988,0.857,1.175,0.777,1.129,0.979,1.129
0417208384,0.998,0.822,1.15,0.769,1.117,0.969,1.117
0417208385,1.009,0.847,1.116,0.769,1.129,0.979,1.129
0417208386,0.99,0.814,1.071,0.769,1.108,0.961,1.108
0417208387,0.951,0.823,1.093,0.769,1.086,0.942,1.086
0417208388,0.951,0.814,1.016,0.769,1.086,0.942,1.086
0417208389,0.979,0.857,0.995,0.769,1.119,0.971,1.119
0417208390,0.971,0.782,0.984,0.769,1.109,0.962,1.109
0417208391,0.959,0.767,0.964,0.769,1.096,0.95,1.096
0417208392,0.951,0.76,0.964,0.769,1.086,0.942,1.086
0417208393,0.943,0.776,0.964,0.769,1.078,0.934,1.078
0417208394,0.925,0.775,0.952,0.769,1.057,0.917,1.057
0417208395,0.889,0.744,0.952,0.777,1.016,0.881,1.016
0417208396,0.899,0.736,0.944,0.777,1.026,0.891,1.026
0417208397,0.89,0.76,0.952,0.777,1.017,0.882,1.017
0417208398,0.891,0.792,0.943,0.777,1.018,0.883,1.018
0417208399,0.865,0.775,0.994,0.777,0.989,0.857,0.989
0417208400,0.875,0.792,1.011,0.777,1.0,0.867,1.0
0417208401,0.858,0.775,1.034,0.777,0.98,0.85,0.98
0417208402,0.858,0.783,1.011,0.777,0.98,0.85,0.98
0417208403,0.842,0.783,1.044,0.785,0.961,0.834,0.961
0417208404,0.817,0.783,1.044,0.785,0.933,0.81,0.933
0417208405,0.817,0.783,1.044,0.785,0.933,0.81,0.933
0417208406,0.817,0.744,1.054,0.785,0.933,0.81,0.933
0417208407,0.817,0.744,1.054,0.785,0.933,0.81,0.933
0417208408,0.8,0.73,1.066,0.785,0.914,0.793,0.914
0417208409,0.792,0.73,1.088,0.785,0.905,0.786,0.905
0417208410,0.792,0.714,1.102,0.777,0.905,0.786,0.905
0417208411,0.792,0.722,1.102,0.762,0.905,0.786,0.905
0417208412,0.787,0.736,1.118,0.762,0.899,0.78,0.899
0417208413,0.794,0.752,1.142,0.762,0.908,0.787,0.908
0417208414,0.787,0.744,1.166,0.762,0.899,0.78,0.899
0417208415,0.779,0.752,1.191,0.762,0.89,0.772,0.89
0417208416,0.779,0.76,1.191,0.746,0.89,0.772,0.89
0417208417,0.769,0.76,1.216,0.746,0.879,0.762,0.879
0417208418,0.761,0.783,1.228,0.746,0.869,0.754,0.869
0417208419,0.761,0.783,1.241,0.753,0.869,0.754,0.869
0417208420,0.769,0.783,1.241,0.746,0.861,0.746,0.861
0417208421,0.769,0.783,1.252,0.739,0.861,0.746,0.861
0417208422,0.769,0.807,1.252,0.739,0.861,0.746,0.861
0417208423,0.741,0.799,1.278,0.739,0.83,0.719,0.83
0417208424,0.741,0.799,1.291,0.746,0.83,0.719,0.83
0417208425,0.741,0.807,1.304,0.739,0.83,0.719,0.83
0417208426,0.761,0.808,1.33,0.732,0.852,0.739,0.852
0417208427,0.749,0.824,1.344,0.732,0.838,0.727,0.838
0417208428,0.753,0.824,1.344,0.725,0.842,0.746,0.842
0417208429,0.74,0.816,1.37,0.725,0.828,0.734,0.828
0417208430,0.732,0.824,1.451,0.725,0.82,0.726,0.82
0417208431,0.74,0.824,1.514,0.725,0.828,0.719,0.828
0417208432,0.74,0.83,1.585,0.725,0.828,0.719,0.828
0417208433,0.756,0.831,1.614,0.732,0.846,0.749,0.846
0417208434,0.74,0.831,1.712,0.725,0.828,0.734,0.828
0417208435,0.732,0.84,1.76,0.717,0.82,0.711,0.82
0417208436,0.732,0.831,1.807,0.717,0.82,0.711,0.82
0417208437,0.717,0.865,1.89,0.717,0.802,0.711,0.802
0417208438,0.717,0.848,1.935,0.717,0.802,0.711,0.802
0417208439,0.717,0.848,1.932,0.725,0.802,0.711,0.802
0417208440,0.717,0.831,1.99,0.717,0.802,0.711,0.802
0417208441,0.739,0.84,2.012,0.725,0.827,0.718,0.827
0417208442,0.718,0.865,2.01,0.725,0.803,0.712,0.803
0417208443,0.718,0.874,2.048,0.725,0.803,0.712,0.803
0417208444,0.718,0.831,2.04,0.725,0.803,0.712,0.803
0417208445,0.709,0.823,2.006,0.725,0.793,0.703,0.793
0417208446,0.709,0.831,2.08,0.725,0.793,0.703,0.793
0417208447,0.695,0.856,2.056,0.718,0.778,0.69,0.778
0417208448,0.703,0.822,2.056,0.718,0.787,0.698,0.787
0417208449,0.695,0.822,2.037,0.718,0.778,0.69,0.778
0417208450,0.703,0.856,2.037,0.718,0.787,0.698,0.787
0417208451,0.695,0.848,2.0,0.71,0.778,0.69,0.778
0417208452,0.709,0.848,2.0,0.71,0.793,0.703,0.793
0417208453,0.731,0.866,2.0,0.702,0.793,0.703,0.793
0417208454,0.709,0.856,2.039,0.718,0.793,0.703,0.793
0417208455,0.725,0.856,2.077,0.718,0.811,0.719,0.811
0417208456,0.725,0.848,2.039,0.703,0.811,0.704,0.811
0417208457,0.725,0.848,2.06,0.689,0.811,0.704,0.811
0417208458,0.725,0.856,2.088,0.695,0.811,0.704,0.811
0417208459,0.725,0.856,2.06,0.689,0.811,0.704,0.811
0417208460,0.725,0.848,2.06,0.689,0.811,0.704,0.811
0417208461,0.733,0.839,2.088,0.681,0.821,0.712,0.821
0417208462,0.725,0.814,2.088,0.681,0.811,0.704,0.811
0417208463,0.725,0.822,2.088,0.681,0.811,0.704,0.811
0417208464,0.725,0.823,2.088,0.681,0.811,0.704,0.811
0417208465,0.725,0.823,2.088,0.681,0.811,0.704,0.811
0417208466,0.725,0.823,1.998,0.674,0.811,0.704,0.811
0417208467,0.725,0.823,2.038,0.674,0.811,0.704,0.811
0417208468,0.733,0.823,2.0,0.667,0.821,0.712,0.821
0417208469,0.733,0.823,2.0,0.66,0.821,0.712,0.821
0417208470,0.725,0.806,1.967,0.667,0.811,0.704,0.811
0417208471,0.725,0.806,1.967,0.667,0.811,0.704,0.811
0417208472,0.756,0.806,1.915,0.66,0.821,0.712,0.821
0417208473,0.756,0.797,1.878,0.66,0.821,0.712,0.821
0417208474,0.747,0.79,1.861,0.66,0.811,0.704,0.811
0417208475,0.756,0.79,1.917,0.66,0.821,0.712,0.821
0417208476,0.778,0.789,1.917,0.66,0.87,0.755,0.87
0417208477,0.756,0.789,1.917,0.634,0.846,0.733,0.846
0417208478,0.756,0.782,1.917,0.647,0.821,0.712,0.821
0417208479,0.802,0.775,1.917,0.615,0.87,0.755,0.87
0417208480,0.802,0.782,1.917,0.615,0.87,0.755,0.87
0417208481,0.763,0.723,1.903,0.618,0.828,0.719,0.828
0417308341,1.191,0.925,0.652,0.782,1.332,1.156,1.332
0417308342,1.375,0.862,0.658,0.734,1.491,1.294,1.491
0417308343,1.229,0.925,0.652,0.759,1.375,1.192,1.375
0417308344,1.229,0.925,0.652,0.759,1.375,1.192,1.375
0417308345,1.456,0.88,0.665,0.728,1.58,1.37,1.58
0417308346,1.482,0.855,0.665,0.714,1.608,1.394,1.608
0417308347,1.482,0.829,0.678,0.721,1.608,1.394,1.608
0417308348,1.471,0.829,0.672,0.714,1.596,1.384,1.596
0417308349,1.438,0.891,0.672,0.714,1.608,1.394,1.608
0417308350,1.465,0.855,0.672,0.714,1.638,1.421,1.638
0417308351,1.45,0.846,0.672,0.714,1.622,1.406,1.622
0417308352,1.465,0.871,0.676,0.72,1.638,1.421,1.638
0417308353,1.492,0.9,0.646,0.721,1.669,1.447,1.669
0417308354,1.505,0.829,0.646,0.714,1.685,1.461,1.685
0417308355,1.505,0.838,0.646,0.714,1.685,1.461,1.685
0417308356,1.493,0.863,0.652,0.714,1.67,1.448,1.67
0417308357,1.538,0.863,0.652,0.721,1.721,1.493,1.721
0417308358,1.522,0.863,0.652,0.721,1.703,1.477,1.703
0417308359,1.522,0.837,0.652,0.721,1.703,1.477,1.703
0417308360,1.537,0.846,0.652,0.721,1.72,1.492,1.72
0417308361,1.554,0.855,0.652,0.714,1.739,1.509,1.739
0417308362,1.568,0.823,0.652,0.714,1.755,1.523,1.755
0417308363,1.506,0.798,0.652,0.714,1.686,1.462,1.686
0417308364,1.505,0.837,0.652,0.707,1.685,1.461,1.685
0417308365,1.505,0.863,0.671,0.714,1.685,1.461,1.685
0417308366,1.506,0.872,0.665,0.714,1.686,1.462,1.686
0417308367,1.506,0.864,0.671,0.714,1.686,1.462,1.686
0417308368,1.535,0.854,0.671,0.721,1.718,1.49,1.718
0417308369,1.551,0.863,0.678,0.721,1.736,1.506,1.736
0417308370,1.477,0.882,0.678,0.707,1.652,1.433,1.652
0417308371,1.506,0.872,0.678,0.714,1.686,1.462,1.686
0417308372,1.52,0.829,0.69,0.714,1.701,1.475,1.701
0417308373,1.551,0.845,0.69,0.713,1.736,1.506,1.736
0417308374,1.477,0.855,0.676,0.699,1.652,1.433,1.652
0417308375,1.493,0.873,0.698,0.706,1.67,1.448,1.67
0417308376,1.381,0.822,0.755,0.724,1.545,1.34,1.545
0417308377,1.038,0.847,1.252,0.785,1.161,1.007,1.161
0417308378,1.009,0.865,1.252,0.785,1.129,0.979,1.129
0417308379,1.011,0.84,1.24,0.777,1.131,0.981,1.131
0417308380,1.009,0.822,1.24,0.777,1.129,0.979,1.129
0417308381,1.038,0.84,1.197,0.777,1.161,1.007,1.161
0417308382,1.009,0.865,1.175,0.777,1.129,0.979,1.129
0417308383,0.99,0.847,1.175,0.777,1.108,0.961,1.108
0417308384,0.97,0.822,1.163,0.777,1.085,0.941,1.085
0417308385,1.009,0.831,1.115,0.769,1.129,0.979,1.129
0417308386,1.009,0.875,1.104,0.769,1.129,0.979,1.129
0417308387,1.0,0.831,1.06,0.769,1.119,0.971,1.119
0417308388,0.951,0.799,0.995,0.769,1.086,0.942,1.086
0417308389,0.971,0.814,0.995,0.769,1.109,0.962,1.109
0417308390,0.991,0.831,0.964,0.769,1.109,0.962,1.109
0417308391,0.971,0.784,0.974,0.769,1.109,0.962,1.109
0417308392,0.922,0.784,0.952,0.769,1.054,0.914,1.054
0417308393,0.935,0.784,0.952,0.777,1.068,0.926,1.068
0417308394,0.9,0.767,0.933,0.777,1.027,0.892,1.027
0417308395,0.889,0.783,0.942,0.777,1.016,0.881,1.016
