geo_id,geo_name,total_pop,latin_pct,white_pct,black_pct,aian_pct,asian_pct,nhpi_pct,other_pct,two_plus_pct,total_pop_race,latin_tot,white_tot,black_tot,aian_tot,asian_tot,nhpi_tot,other_tot,two_plus_tot
1400000US26001000100,Census Tract 1; Alcona County; Michigan,1698,2.1,93.0,0.5,0.0,0.0,0.0,1.0,3.4,1698,36,1579,8,0,0,0,17,58
1400000US26001970100,Census Tract 9701; Alcona County; Michigan,2406,2.7,92.9,0.4,0.5,0.8,0.0,0.2,2.6,2406,65,2234,9,11,20,0,5,62
1400000US26001970400,Census Tract 9704; Alcona County; Michigan,2789,1.1,95.4,0.7,0.6,0.0,0.1,0.1,1.9,2789,31,2661,20,17,0,2,4,54
1400000US26001970500,Census Tract 9705; Alcona County; Michigan,2057,2.0,92.7,0.1,0.0,0.6,0.0,0.0,4.5,2057,41,1907,3,1,12,0,0,93
1400000US26001970600,Census Tract 9706; Alcona County; Michigan,1288,1.2,94.9,0.3,0.2,0.0,0.0,0.0,3.4,1288,16,1222,4,2,0,0,0,44
1400000US26001990000,Census Tract 9900; Alcona County; Michigan,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
1400000US26003000100,Census Tract 1; Alger County; Michigan,3473,1.2,86.8,0.1,6.4,0.1,0.0,0.0,5.6,3473,41,3013,2,222,2,0,0,193
1400000US26003000200,Census Tract 2; Alger County; Michigan,2203,4.8,87.4,0.8,2.0,0.1,0.0,0.3,4.7,2203,106,1925,18,43,2,0,6,103
1400000US26003000300,Census Tract 3; Alger County; Michigan,3190,0.9,73.0,21.0,0.6,2.1,0.0,0.0,2.5,3190,28,2328,671,18,66,0,0,79
1400000US26003990000,Census Tract 9900; Alger County; Michigan,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
1400000US26005030200,Census Tract 302; Allegan County; Michigan,3506,3.1,94.2,1.4,0.0,1.0,0.0,0.0,0.3,3506,109,3304,48,0,34,0,0,11
1400000US26005030301,Census Tract 303.01; Allegan County; Michigan,3103,1.7,95.7,0.6,0.0,0.3,0.0,0.0,1.5,3103,54,2971,20,0,10,0,0,48
1400000US26005030302,Census Tract 303.02; Allegan County; Michigan,5104,0.5,96.4,0.0,0.0,0.0,0.0,0.4,2.7,5104,26,4921,1,0,0,0,20,136
1400000US26005030402,Census Tract 304.02; Allegan County; Michigan,6786,2.6,91.5,0.6,0.3,1.4,0.0,0.0,3.6,6786,176,6209,42,22,94,0,0,243
1400000US26005030403,Census Tract 304.03; Allegan County; Michigan,4658,1.1,96.6,0.0,0.0,0.0,0.0,0.0,2.4,4658,49,4498,0,0,0,0,0,111
1400000US26005030404,Census Tract 304.04; Allegan County; Michigan,3235,4.6,89.1,0.0,0.0,3.0,0.0,0.8,2.5,3235,148,2884,0,0,96,0,25,82
1400000US26005030501,Census Tract 305.01; Allegan County; Michigan,3229,8.8,84.5,0.0,0.1,0.5,0.0,0.2,5.9,3229,283,2728,0,4,16,0,8,190
1400000US26005030502,Census Tract 305.02; Allegan County; Michigan,4885,3.6,88.6,4.5,0.0,1.2,0.0,0.0,2.0,4885,177,4329,222,0,57,0,0,100
1400000US26005030600,Census Tract 306; Allegan County; Michigan,5086,2.7,90.8,0.9,0.3,0.1,0.0,0.2,5.1,5086,137,4617,46,13,6,0,9,258
1400000US26005030702,Census Tract 307.02; Allegan County; Michigan,5177,3.1,94.1,0.5,0.0,0.5,0.0,0.0,1.8,5177,162,4869,28,0,26,0,0,92
1400000US26005030703,Census Tract 307.03; Allegan County; Michigan,3091,27.7,68.2,0.9,0.0,0.0,0.0,0.1,3.1,3091,856,2108,27,1,0,0,4,95
1400000US26005030704,Census Tract 307.04; Allegan County; Michigan,5076,16.2,80.7,0.4,0.0,0.3,0.0,0.4,2.0,5076,821,4095,22,2,16,0,20,100
1400000US26005030801,Census Tract 308.01; Allegan County; Michigan,1965,3.3,94.5,0.1,0.2,0.8,0.0,0.2,1.0,1965,64,1857,2,3,16,0,3,20
1400000US26005030802,Census Tract 308.02; Allegan County; Michigan,3372,10.0,84.1,0.7,0.1,0.5,0.2,0.0,4.3,3372,338,2836,25,2,18,7,0,146
1400000US26005030901,Census Tract 309.01; Allegan County; Michigan,2825,15.2,79.7,0.7,1.9,0.0,0.0,0.0,2.5,2825,428,2252,20,54,0,0,0,71
1400000US26005030902,Census Tract 309.02; Allegan County; Michigan,2574,13.3,81.8,0.4,0.0,0.7,0.0,0.0,3.7,2574,343,2106,11,0,19,0,1,94
1400000US26005031001,Census Tract 310.01; Allegan County; Michigan,3041,42.8,54.4,0.1,1.6,0.0,0.0,0.0,1.1,3041,1301,1655,2,50,0,0,0,33
1400000US26005031002,Census Tract 310.02; Allegan County; Michigan,3266,6.8,78.7,2.1,0.3,0.0,0.0,0.0,12.1,3266,222,2570,70,10,0,0,0,394
1400000US26005031101,Census Tract 311.01; Allegan County; Michigan,3575,4.9,85.5,0.9,0.4,0.5,0.0,0.0,7.9,3575,174,3056,31,15,18,0,0,281
1400000US26005031102,Census Tract 311.02; Allegan County; Michigan,3097,3.5,92.0,1.4,0.0,0.0,0.0,0.0,3.0,3097,108,2850,44,0,1,0,0,94
1400000US26005031200,Census Tract 312; Allegan County; Michigan,5742,6.0,80.1,5.9,0.0,1.8,0.0,0.3,6.0,5742,347,4597,336,0,101,0,19,342
